age,decade_band,source
4,0–9,notes
5,0–9,notes
7,0–9,notes
9,0–9,notes
11,10–19,notes
12,10–19,notes
14,10–19,notes
16,10–19,notes
20,20–29,notes
25,20–29,notes
27,20–29,tubbs
27,20–29,notes
28,20–29,notes
30,30–39,notes
31,30–39,notes
32,30–39,notes
34,30–39,notes
35,30–39,notes
35,30–39,notes
35,30–39,notes
36,30–39,notes
38,30–39,notes
39,30–39,notes
39,30–39,notes
40,40–49,tubbs
40,40–49,notes
40,40–49,notes
40,40–49,notes
41,40–49,tubbs
43,40–49,notes
44,40–49,notes
45,40–49,notes
47,40–49,tubbs
48,40–49,notes
48,40–49,notes
49,40–49,notes
50,50–59,notes
50,50–59,notes
51,50–59,notes
53,50–59,notes
53,50–59,notes
53,50–59,notes
53,50–59,notes
54,50–59,notes
54,50–59,tubbs
54,50–59,notes
55,50–59,notes
55,50–59,notes
55,50–59,notes
55,50–59,notes
56,50–59,notes
56,50–59,notes
56,50–59,notes
56,50–59,notes
57,50–59,notes
57,50–59,notes
57,50–59,tubbs
58,50–59,notes
58,50–59,notes
59,50–59,notes
59,50–59,notes
59,50–59,notes
59,50–59,notes
59,50–59,notes
59,50–59,notes
59,50–59,notes
60,60–69,notes
60,60–69,notes
61,60–69,notes
61,60–69,notes
61,60–69,notes
61,60–69,notes
61,60–69,notes
61,60–69,notes
62,60–69,notes
62,60–69,notes
62,60–69,notes
63,60–69,notes
63,60–69,notes
63,60–69,notes
63,60–69,notes
64,60–69,notes
64,60–69,notes
64,60–69,notes
64,60–69,notes
64,60–69,notes
64,60–69,notes
65,60–69,notes
65,60–69,notes
65,60–69,notes
65,60–69,notes
65,60–69,notes
65,60–69,notes
65,60–69,notes
65,60–69,notes
66,60–69,notes
66,60–69,notes
66,60–69,notes
66,60–69,notes
66,60–69,notes
66,60–69,notes
66,60–69,notes
66,60–69,notes
67,60–69,tubbs
67,60–69,notes
67,60–69,notes
67,60–69,notes
67,60–69,notes
67,60–69,notes
67,60–69,notes
67,60–69,notes
68,60–69,notes
68,60–69,tubbs
68,60–69,notes
68,60–69,notes
68,60–69,notes
68,60–69,notes
68,60–69,notes
68,60–69,notes
68,60–69,notes
68,60–69,notes
68,60–69,notes
68,60–69,notes
69,60–69,notes
69,60–69,notes
69,60–69,notes
69,60–69,notes
69,60–69,notes
69,60–69,notes
69,60–69,notes
69,60–69,tubbs
69,60–69,notes
69,60–69,notes
69,60–69,notes
70,70–79,notes
70,70–79,notes
70,70–79,notes
70,70–79,notes
70,70–79,notes
70,70–79,notes
70,70–79,notes
70,70–79,notes
70,70–79,notes
70,70–79,notes
70,70–79,notes
71,70–79,notes
71,70–79,notes
71,70–79,notes
71,70–79,notes
71,70–79,notes
71,70–79,tubbs
71,70–79,tubbs
71,70–79,notes
71,70–79,notes
71,70–79,notes
71,70–79,notes
71,70–79,notes
72,70–79,tubbs
72,70–79,notes
72,70–79,notes
72,70–79,notes
72,70–79,notes
72,70–79,notes
72,70–79,notes
72,70–79,notes
73,70–79,notes
73,70–79,notes
73,70–79,notes
73,70–79,notes
73,70–79,notes
73,70–79,notes
73,70–79,notes
73,70–79,notes
74,70–79,notes
74,70–79,notes
74,70–79,notes
74,70–79,notes
74,70–79,notes
74,70–79,notes
74,70–79,notes
74,70–79,notes
74,70–79,notes
74,70–79,notes
75,70–79,tubbs
75,70–79,notes
75,70–79,notes
75,70–79,tubbs
75,70–79,tubbs
75,70–79,notes
75,70–79,notes
75,70–79,notes
75,70–79,notes
75,70–79,notes
75,70–79,notes
75,70–79,notes
75,70–79,notes
75,70–79,notes
76,70–79,notes
76,70–79,notes
76,70–79,notes
76,70–79,notes
76,70–79,notes
76,70–79,notes
76,70–79,notes
76,70–79,notes
76,70–79,tubbs
76,70–79,notes
76,70–79,notes
77,70–79,notes
77,70–79,notes
77,70–79,notes
77,70–79,notes
78,70–79,notes
78,70–79,notes
78,70–79,notes
78,70–79,notes
78,70–79,notes
78,70–79,notes
78,70–79,notes
79,70–79,notes
79,70–79,notes
79,70–79,tubbs
79,70–79,notes
79,70–79,notes
79,70–79,notes
79,70–79,notes
79,70–79,notes
79,70–79,notes
80,80–89,notes
80,80–89,notes
80,80–89,notes
80,80–89,tubbs
80,80–89,tubbs
80,80–89,notes
80,80–89,notes
80,80–89,notes
80,80–89,notes
80,80–89,notes
81,80–89,notes
81,80–89,notes
81,80–89,tubbs
81,80–89,notes
82,80–89,notes
82,80–89,notes
82,80–89,tubbs
82,80–89,notes
82,80–89,notes
82,80–89,notes
82,80–89,notes
82,80–89,notes
83,80–89,notes
83,80–89,notes
83,80–89,notes
83,80–89,notes
83,80–89,notes
84,80–89,notes
84,80–89,notes
84,80–89,notes
84,80–89,notes
84,80–89,notes
84,80–89,notes
85,80–89,notes
85,80–89,notes
85,80–89,notes
85,80–89,notes
86,80–89,notes
86,80–89,notes
86,80–89,notes
88,80–89,notes
88,80–89,notes
88,80–89,notes
88,80–89,notes
88,80–89,notes
89,80–89,notes
89,80–89,notes
89,80–89,notes
90,90–99,notes
90,90–99,notes
90,90–99,notes
90,90–99,notes
93,90–99,notes
93,90–99,notes
94,90–99,notes
94,90–99,notes
95,90–99,tubbs
95,90–99,notes
95,90–99,notes
96,90–99,notes
97,90–99,notes
99,90–99,notes
99,90–99,notes
100,100+,notes
101,100+,tubbs
