Fire,census_place,Identified_fatalities,exits,population_orig,population_corrected,fatality_pct_corrected
Hawaii/Lahaina,Lahiaina,102,4.0,13261,13261,0.7692
CAMP,Paradise,66,6.0,7730,26800,0.2463
Eaton,Altadena,19,20.0,41921,41921,0.0453
NORTH COMPLEX,Berry Creek,13,3.0,1190,1190,1.0924
2016 Great Smoky Mountain wildfires,Gatlinburg,12,9.0,3684,3684,0.3257
TUBBS,Larkfield-Wikiup CDP,11,11.0,7595,7595,0.1448
CAMP,Concow,9,6.0,306,710,1.2676
CAMP,Magalia,9,10.0,10537,10537,0.0854
REDWOOD VALLEY,Redwood Valley,9,12.0,1798,1798,0.5006
Palisades,Malibu,5,14.5,10915,10915,0.0458
ATLAS,Silvarado Resort,4,3.0,926,926,0.432
CARR,Keswick,4,3.0,141,451,0.8869
MCKINNEY,Klamath CDP,4,4.0,946,946,0.4228
VALLEY,"Hidden Valley Lake CDP, California",4,2.0,6155,6155,0.065
ZOGG,Igo,4,5.0,148,148,2.7027
CASCADE,Loma Rica,3,6.0,2782,2782,0.1078
LNU LIGHTENING COMPLEX,Moskowite Corner CDP,3,4.0,109,109,2.7523
ATLAS,Moskowite Corner CDP,2,4.0,109,109,1.8349
BORDER 3,Potrero,2,3.0,366,366,0.5464
BUTTE,Mountain Ranch,2,2.0,256,1628,0.1229
ERSKINE,Lake Isabella,2,5.0,3553,3553,0.0563
FAIRVIEW,East Hemet,2,21.0,19998,19998,0.01
LNU LIGHTENING COMPLEX,Allendale CDP,2,5.0,1760,1760,0.1136
MILL,Weed City,2,5.0,2870,2870,0.0697
SANDALWOOD,Calimesa,2,17.0,10053,10053,0.0199
SLATER,Happy Camp CDP,2,3.0,854,854,0.2342
Waldo Canyon,Manitou,2,3.0,235,4309,0.0464
BULLY,Ono,1,2.0,72,72,1.3889
CASCADE,Grass Valley,1,20.0,13500,13500,0.0074
CLOVER,Igo,1,5.0,148,148,0.6757
CZU AUGUST LIGHTENING COMPLEX,Davenport,1,4.0,688,688,0.1453
HAPPY CAMP COMPLEX,Happy Camp CDP,1,3.0,854,854,0.1171
KLAMATHON,Hornbrook,1,3.0,303,303,0.33
MOUNTAIN VIEW,Walker,1,2.0,401,704,0.142
NUNS,Glen Ellen,1,3.0,1076,1076,0.0929
Palisades,Topanga,1,15.0,8255,8255,0.0121
THOMAS,Santa Paula,1,6.0,30741,30741,0.0033
TUBBS,Calistoga,1,10.0,5267,5267,0.019
