Fire,census_place,fire_year,acs_vintage,pre_fire_geography,place_geoid,acs_place_name,acs_total_pop,pop_0_9,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80p,share_0_9,share_10_19,share_20_29,share_30_39,share_40_49,share_50_59,share_60_69,share_70_79,share_80p
Hawaii/Lahaina,Lahiaina,2023,2022,True,1542950,Lahaina CDP,12906,1789,1425,1358,2199,1470,1626,1700,888,451,0.1386,0.1104,0.1052,0.1704,0.1139,0.126,0.1317,0.0688,0.0349
CAMP,Paradise,2018,2017,True,0655520,Paradise town,26437,2554,2363,3378,2753,2376,3895,4523,2676,1919,0.0966,0.0894,0.1278,0.1041,0.0899,0.1473,0.1711,0.1012,0.0726
Eaton,Altadena,2025,2024,True,0601290,Altadena CDP,41705,4126,4483,3612,5300,5365,6743,5919,3528,2629,0.0989,0.1075,0.0866,0.1271,0.1286,0.1617,0.1419,0.0846,0.063
NORTH COMPLEX,Berry Creek,2020,2019,True,0606070,Berry Creek CDP,1313,75,121,121,121,131,224,303,159,58,0.0571,0.0922,0.0922,0.0922,0.0998,0.1706,0.2308,0.1211,0.0442
2016 Great Smoky Mountain wildfires,Gatlinburg,2016,2015,True,4728800,Gatlinburg city,4099,311,363,372,360,576,498,754,557,308,0.0759,0.0886,0.0908,0.0878,0.1405,0.1215,0.1839,0.1359,0.0751
TUBBS,Larkfield-Wikiup CDP,2017,2016,True,0640426,Larkfield-Wikiup CDP,9257,1054,1115,1184,1035,1066,1589,1464,437,313,0.1139,0.1204,0.1279,0.1118,0.1152,0.1717,0.1582,0.0472,0.0338
CAMP,Concow,2018,2017,True,0616035,Concow CDP,762,65,93,24,60,74,110,220,86,30,0.0853,0.122,0.0315,0.0787,0.0971,0.1444,0.2887,0.1129,0.0394
CAMP,Magalia,2018,2017,True,0645120,Magalia CDP,12346,1382,1102,1759,1042,1186,1852,2061,1158,804,0.1119,0.0893,0.1425,0.0844,0.0961,0.15,0.1669,0.0938,0.0651
REDWOOD VALLEY,Redwood Valley,2017,2016,True,0660214,Redwood Valley CDP,2102,162,557,147,351,407,219,119,140,0,0.0771,0.265,0.0699,0.167,0.1936,0.1042,0.0566,0.0666,0.0
Palisades,Malibu,2025,2024,True,0645246,Malibu city,10421,718,1192,974,917,949,1381,1990,1633,667,0.0689,0.1144,0.0935,0.088,0.0911,0.1325,0.191,0.1567,0.064
ATLAS,Silvarado Resort,2017,2016,True,0671927,Silverado Resort CDP,988,34,41,34,30,97,202,223,191,136,0.0344,0.0415,0.0344,0.0304,0.0982,0.2045,0.2257,0.1933,0.1377
CARR,Keswick,2018,2017,True,0638352,Keswick CDP,449,78,60,20,64,67,30,86,44,0,0.1737,0.1336,0.0445,0.1425,0.1492,0.0668,0.1915,0.098,0.0
MCKINNEY,Klamath CDP,2022,2021,True,0638702,Klamath CDP,946,120,125,66,104,75,131,147,126,52,0.1268,0.1321,0.0698,0.1099,0.0793,0.1385,0.1554,0.1332,0.055
VALLEY,"Hidden Valley Lake CDP, California",2015,2014,True,0633549,Hidden Valley Lake CDP,6168,936,1022,451,901,755,784,723,418,178,0.1518,0.1657,0.0731,0.1461,0.1224,0.1271,0.1172,0.0678,0.0289
ZOGG,Igo,2020,2020,False,0636252,Igo CDP,148,22,18,21,14,31,34,4,4,0,0.1486,0.1216,0.1419,0.0946,0.2095,0.2297,0.027,0.027,0.0
CASCADE,Loma Rica,2017,2016,True,0642412,Loma Rica CDP,2954,570,401,382,341,204,373,423,178,82,0.193,0.1357,0.1293,0.1154,0.0691,0.1263,0.1432,0.0603,0.0278
LNU LIGHTENING COMPLEX,Moskowite Corner CDP,2020,2019,True,0649432,Moskowite Corner CDP,121,14,14,0,0,29,16,31,10,7,0.1157,0.1157,0.0,0.0,0.2397,0.1322,0.2562,0.0826,0.0579
ATLAS,Moskowite Corner CDP,2017,2016,True,0649432,Moskowite Corner CDP,198,27,21,26,0,38,21,56,9,0,0.1364,0.1061,0.1313,0.0,0.1919,0.1061,0.2828,0.0455,0.0
BORDER 3,Potrero,2016,2015,True,0658478,Potrero CDP,819,169,236,0,122,162,66,14,33,17,0.2063,0.2882,0.0,0.149,0.1978,0.0806,0.0171,0.0403,0.0208
BUTTE,Mountain Ranch,2015,2014,True,0649628,Mountain Ranch CDP,1369,89,165,41,37,196,362,273,147,59,0.065,0.1205,0.0299,0.027,0.1432,0.2644,0.1994,0.1074,0.0431
ERSKINE,Lake Isabella,2016,2015,True,0639570,Lake Isabella CDP,2966,170,119,588,133,428,320,490,481,237,0.0573,0.0401,0.1982,0.0448,0.1443,0.1079,0.1652,0.1622,0.0799
FAIRVIEW,East Hemet,2022,2021,True,0620697,East Hemet CDP,19998,3295,3321,2616,3170,2458,2165,1735,838,400,0.1648,0.1661,0.1308,0.1585,0.1229,0.1083,0.0868,0.0419,0.02
LNU LIGHTENING COMPLEX,Allendale CDP,2020,2019,True,0600996,Allendale CDP,1388,144,111,178,56,130,280,337,100,52,0.1037,0.08,0.1282,0.0403,0.0937,0.2017,0.2428,0.072,0.0375
MILL,Weed City,2022,2021,True,0683850,Weed city,2870,305,457,400,189,371,390,382,229,147,0.1063,0.1592,0.1394,0.0659,0.1293,0.1359,0.1331,0.0798,0.0512
SANDALWOOD,Calimesa,2019,2018,True,0609864,Calimesa city,8651,920,903,1078,612,1052,1265,1055,1115,651,0.1063,0.1044,0.1246,0.0707,0.1216,0.1462,0.122,0.1289,0.0753
SLATER,Happy Camp CDP,2020,2019,True,0632030,Happy Camp CDP,844,116,59,58,105,59,136,203,72,36,0.1374,0.0699,0.0687,0.1244,0.0699,0.1611,0.2405,0.0853,0.0427
Waldo Canyon,Manitou,2012,2011,True,0848445,Manitou Springs city,4988,347,498,392,402,1125,1111,797,194,122,0.0696,0.0998,0.0786,0.0806,0.2255,0.2227,0.1598,0.0389,0.0245
BULLY,Ono,2014,2020,False,0653882,Ono CDP,57,8,3,0,7,1,0,21,13,4,0.1404,0.0526,0.0,0.1228,0.0175,0.0,0.3684,0.2281,0.0702
CASCADE,Grass Valley,2017,2016,True,0630798,Grass Valley city,12861,1300,1366,1400,1576,1190,1564,1715,1217,1533,0.1011,0.1062,0.1089,0.1225,0.0925,0.1216,0.1333,0.0946,0.1192
CLOVER,Igo,2013,2020,False,0636252,Igo CDP,148,22,18,21,14,31,34,4,4,0,0.1486,0.1216,0.1419,0.0946,0.2095,0.2297,0.027,0.027,0.0
CZU AUGUST LIGHTENING COMPLEX,Davenport,2020,2019,True,0618086,Davenport CDP,368,65,31,29,33,43,48,51,44,24,0.1766,0.0842,0.0788,0.0897,0.1168,0.1304,0.1386,0.1196,0.0652
HAPPY CAMP COMPLEX,Happy Camp CDP,2023,2022,True,0632030,Happy Camp CDP,679,82,28,41,95,26,73,186,116,32,0.1208,0.0412,0.0604,0.1399,0.0383,0.1075,0.2739,0.1708,0.0471
KLAMATHON,Hornbrook,2018,2017,True,0634694,Hornbrook CDP,216,18,20,42,12,13,34,27,23,27,0.0833,0.0926,0.1944,0.0556,0.0602,0.1574,0.125,0.1065,0.125
MOUNTAIN VIEW,Walker,2020,2019,True,0683262,Walker CDP,858,93,34,40,132,28,125,152,160,94,0.1084,0.0396,0.0466,0.1538,0.0326,0.1457,0.1772,0.1865,0.1096
NUNS,Glen Ellen,2017,2016,True,0630028,Glen Ellen CDP,726,0,38,22,48,39,161,303,45,70,0.0,0.0523,0.0303,0.0661,0.0537,0.2218,0.4174,0.062,0.0964
